madde,anlam,lisan,telaffuz
abanabilmek,Abanma ihtimali veya imkânı bulunmak | Abanmaya gücü yetmek,,
abandırabilmek,Abandırmaya gücü yetmek,,
abandırıvermek,Çabucak abanmasını sağlamak,,
abandırmak,Bir kimsenin veya bir şeyin bir yere veya bir kimseye yaslanmasını sağlamak | Bir hayvanı yere çöktürmek,,
abanıvermek,"Ansızın, çabucak abanmak",,abanı'vermek
abanmak,"Eğilerek bir şeyin, bir kimsenin üzerine kapanmak | Bir yere veya bir kimseye yaslanmak, dayanmak | Birine yük olarak onun sırtından geçinmeye çalışmak | Bir şeyin veya bir kimsenin üzerine çöküp çullanmak | Boksta karşılaşma sırasında rakibine yaslanmak [spor] | Futbolda topa olanca gücüyle vurmak [spor]",,
abanozlaşıvermek,Çabucak abanozlaşmak,,
abanozlaşmak,"Ağaç gibi maddeler suda uzun süre kalarak kararmak | Güneşte uzun süre kalarak kararmak, matlaşmak, sertleşmek",,
abanozlaştırabilmek,Abanozlaştırma ihtimali veya imkânı bulunmak | Abanozlaştırmaya gücü yetmek,,
abanozlaştırıvermek,Çabucak abanozlaşmasını sağlamak,,
abanozlaştırmak,Abanoz gibi olmasını sağlamak,,
abartabilmek,Bir şeyi olduğundan daha abartılı bir biçimde anlatma eğiliminde olmak,,
abartılabilmek,Abartılma ihtimali veya imkânı bulunmak,,
abartılmak,Abartma işine konu olmak,,
abartmak,"Bir nesneyi veya durumu olduğundan daha önemli, daha büyük veya daha çok göstermek; şişirmek, mübalağa etmek | Bir iş, bir davranış vb.nde gereğinden fazlasına kaçmak, aşırıya kaçmak",,
abazanlaşmak,Cinsel ilişkiden uzun süre uzak kalmış olmak,,
ablavutlaşmak,Ablavut duruma gelmek,,
abramak,"Fırtınalı havalarda gemiyi ustalıkla yönetmek | Başarmak, bir işi becermek, bir işin üstesinden gelmek",,
abuslaşmak,"Suratı asılmak, somurtkan bir hâl almak",,
acarlaşmak,Acar duruma gelmek,,
acayipleşebilmek,Acayipleşme ihtimali veya imkânı bulunmak,,
acayipleşivermek,Çabucak acayipleşmek,,acayipleşi'vermek
acayipleşmek,"Başkalaşmak, yadırganacak bir duruma gelmek",,
acayipleştirmek,Yadırganacak bir duruma getirmek,,
acemileşebilmek,Acemileşme ihtimali veya imkânı bulunmak,,
acemileşivermek,Acemi olmamasına karşın acemi gibi davranmak,,acemileşi'vermek
acemileşmek,Beceriksizlik göstermek,,
Acemleşmek,Acemlere özgü yaşayış tarzını benimsemek; Farslaşmak,,
Acemleştirilmek,Acemleştirme işi yapılmak; Farslaştırılmak,,
Acemleştirmek,Acemlere özgü yaşayış tarzını benimsetmek; Farslaştırmak,,
acıkabilmek,Acıkma ihtimali veya imkânı bulunmak,,
acıkılmak,Acıkma işine konu olmak,,
acıkıvermek,Çabucak acıkmak,,acıkı'vermek
acıkmak,Yemek yeme gereksinimi duymak,,
acıktırmak,Açlık duymasına sebep olmak | Aç bırakmak,,
acılanmak,"Tadı acı olmak, acı duruma gelmek | Acılı durumda olmak, üzüntüye kapılmak, üzülmek",,
acılaşabilmek,Acılaşma ihtimali veya imkânı bulunmak,,
acılaşıvermek,Çabucak acılaşmak,,acılaşı'vermek
acılaşmak,Tadı bozulmak; acımak | Acı duruma gelmek | Yemlerde genellikle yağ asitlerinin oksidasyonu ve hidroliz sonucu uygun olmayan koku ve tat meydana gelmek | Dokunaklı duruma gelmek | Konuşma sert bir durum almak,,
acılaştırabilmek,Acılaştırma ihtimali veya imkânı bulunmak | Acılaştırmaya gücü yetmek,,
acılaştırılmak,Acı duruma getirilmek,,
acılaştırmak,Acı bir duruma getirmek,,
acımak,"Acılı, ağrılı olmak | Merhamet etmek | Başkasının uğradığı veya uğrayacağı kötü bir duruma üzülmek",,
acımak,"Acılı, ağrılı olmak",,
acımak,Merhamet etmek | Başkasının uğradığı veya uğrayacağı kötü bir duruma üzülmek,,
acımasızlaşabilmek,Acımasız duruma gelme ihtimali veya imkânı bulunmak,,
acımasızlaşmak,"Acımasız duruma gelmek, acımamak",,
acımsamak,"Acır gibi olmak, biraz acımak",,
acındırabilmek,Acındırma ihtimali veya imkânı bulunmak | Acındırma becerisi bulunmak,,
acındırılmak,Acındırma işine konu olmak,,
acındırmak,"Birinin acımasına yol açmak, birini merhamete getirmek",,
acınılmak,Acınma işine konu olmak,,
acınmak,Başkalarının merhametine muhtaç duruma düşmek | Başkasının hesabına üzülmek,,
acıtabilmek,Acıtma ihtimali veya imkânı bulunmak | Acıtmaya gücü yetmek,,
acıtılmak,Acıtma işine konu olmak,,
acıtıvermek,Çabucak acıtmak,,acıtı'vermek
acıtmak,"Acılık vermek | Ağrı, sızı duyulmasına sebep olmak",,
acıyabilmek,Acıma ihtimali veya imkânı bulunmak | Acıma becerisi bulunmak,,
açabilmek,Açma ihtimali veya imkânı bulunmak | Açmayı becermek,,
açadurmak,Açmayı sürdürmek,,aça'durmak
açgözlüleşebilmek,Açgözlü olma ihtimali bulunmak,,
açgözlüleşmek,Açgözlü duruma gelmek,,
açıklamak,"Bir konuyla ilgili gerekli bilgileri vermek; izah etmek | Bir sorunla ilgili aydınlatıcı bilgi vermek; tavzih etmek | Bir sözün, bir yazının ne anlatmak istediğini belirtmek, yorumlamak | Açıkça söylemek | Belirtmek, göstermek, açığa vurmak",,
açıklanabilmek,Anlaşılır bir duruma getirilme ihtimali veya imkânı bulunmak,,
açıklanmak,Açıklama işi yapılmak,,
açıklaşmak,Açık duruma gelmek | Rengi açılmak,,
açıklaştırabilmek,Daha açık bir duruma getirme ihtimali veya imkânı bulunmak,,
açıklaştırılmak,Açıklaştırma işine konu olmak,,
açıklaştırmak,Açık duruma getirmek | Rengini açtırmak,,
açıklatabilmek,Açıklamasını veya açıklanmasını sağlamak,,
açıklatmak,Açıklamasını sağlamak,,
açıklattırmak,Açıklatma işini yaptırmak,,
açıklayabilmek,Açıklama ihtimali veya imkânı bulunmak | Açıklama becerisi bulunmak,,
açıklayıvermek,Çabucak veya kolayca açıklamak,,açıklayı'vermek
açılabilmek,Açılma ihtimali veya imkânı bulunmak,,
açılıvermek,Çabucak ve ansızın açılmak,,açılı'vermek
