madde,anlam,lisan,telaffuz
abandone etmek,"dövüşemeyecek duruma getirmek, sersemletmek [spor] | içinden çıkılamaz, çaresiz duruma düşürmek",,
abandone olmak,"içinden çıkılamaz, çaresiz duruma düşmek, ne yapacağını bilememek | dövüşemeyecek duruma gelmek, sersemlemek [spor] | otomobil yarışı vb. spor dallarında herhangi bir sebeple yarış dışı kalmak [spor]",,
abanoz kesilmek,"sertleşerek dayanıklılığı artmak | kirden dolayı matlaşmak, rengini kaybetmek",,
abat olmak,"rahata kavuşmak, gönenmek | mutlu olmak",,
abayı sermek,istenilmediği hâlde teklifsizce yerleşmek | uzun süre yerleşip kalmak,,
abayı yakmak,"birine aşırı bir biçimde gönül vermek, tutulmak, âşık olmak",,
abazan kalmak,uzun süre cinsel ilişkide bulunmamak | aç kalmak,,
aba altından sopa (veya değnek) göstermek,birini imalı bir biçimde tehdit etmek,,
abdestinden şüphesi olmamak,yaptığı işte kusuru olmadığını kesin olarak bilmek,,
"abdestinde, namazında olmak",dindar olmak,,
abdestini vermek,birini azarlamak,,
abdesti bozulmak,yeniden abdest alma gereği ortaya çıkmak,,
abdesti gelmek,abdest bozmaya gereksinim duymak,,
abdesti kaçmak,abdesti bozulmak,,
abdestsiz yere basmamak,dinî kurallara titizlikle bağlı olmak,,
abdest almak,"Müslümanlar namaz kılmak, Kur’an okumak, Kâbe’yi tavaf etmek gibi ibadetleri yerine getirebilmek için niyet ederek el, ağız, burun, yüz, kol ve ayakları yıkamak; baş, kulaklar ve boynun iki yanını meshetmek yoluyla arınmak | boy abdesti almak",,
abdest bozmak,idrar veya dışkı yapmak,,
abdest tazelemek,abdesti bozulmadığı hâlde yeniden abdest almak,,
abes bulmak,"gereksiz, saçma sapan olarak kabul etmek",,
abes kaçmak,söz uygun düşmemek,,
ablalık etmek,abla gibi yakın ve koruyucu davranışlarda bulunmak,,
ablukayı kaldırmak,kuşatma uygulamasından vazgeçmek,,
ablukayı yarmak,kuşatılan bölgeden zor kullanarak dışarı çıkmak,,
abluka altında tutmak,kuşatmayı sürdürmek,,
abone etmek,"bir şeyi belli bir süre için almasını sağlamak, sürdürümlemek",,
abone olmak,"bir şeyi belli bir süre için peşin para ile almayı önceden üstlenmek, sürdürümlenmek | dadanmak",,
aborda etmek,"gemi yanlamasına yanaşmak | bir kimseye veya bir şeye sokulmak, yanaşmak, yaslanmak",,
aborda olmak,"gemi bordasını tamamen vererek başka bir gemiye, iskeleye veya rıhtıma yanaşmak | bir kimseye veya bir şeye sokulmak, yanaşmak, yaslanmak",,
abosa etmek,bir aletin çalışmasını durdurmak,,
absorbe etmek,soğurmak,,
absorbe olmak,soğurulmak,,
abuk sabuk konuşmak,"ne söylediğini bilmeden, düşüncesiz, tutarsız konuşmak",,
abullabutluk etmek,kaba saba davranışlar içinde olmak,,
acayibine gitmek,"yadırgamak, tuhafına gitmek",,
acayip olmak,yadırganacak bir duruma gelmek,,
acelesi olmak,hızlı hareket etme durumunda olmak,,
aceleye gelmek,bir iş yapılırken zaman yetersizliğinden dolayı gereken önem verilememek,,
aceleye getirmek,"bir işi üstünkörü, özenmeden yapmak",,
acele etmek,"çabuk davranmak, ivmek | telaş etmek, sabırsızlanmak",,
acemilik çekmek,alışamadığı bir işte zorluk çekmek,,
acemilik etmek,deneyimli olmasına karşın acemice davranmak,,
acından ölmek,çok acıkmak | aşırı derecede yoksul olmak,,
acısına dayanamamak,"bir kimse, bir yakınının ölümünden, kaybından büyük üzüntü duymak",,
acısını almak,"sıkıntısını, üzüntüsünü azaltmak",,
acısını almak,acılığını gidermek | sızıyı dindirmek,,
acısını çekmek,yapılan yanlış bir işin doğurduğu sıkıntı ve üzüntü içinde bulunmak,,
