kelime_1,kelime_2,iliski_turu
ab,su,yönlendirme
aba,kepenek,yönlendirme
abacı,asalak,yönlendirme
abadi,abadi kâğıt,yönlendirme
abaküs,sayı boncuğu,yönlendirme
abaküs,abak,anlam içi
abartı,mübalağa,anlam içi
abartıcı,abartmacı,anlam içi
abartıcı,mübalağacı,anlam içi
abartıcılık,abartmacılık,anlam içi
abartıcılık,mübalağacılık,anlam içi
abartılı,abartmalı,anlam içi
abartılı,mübalağalı,anlam içi
abartısız,abartmasız,anlam içi
abartısız,mübalağasız,anlam içi
abartısızca,abartmasızca,anlam içi
abartma,izam,anlam içi
abartmak,şişirmek,anlam içi
abartmak,mübalağa etmek,anlam içi
Abaza,Abhaz,anlam içi
Abaza peyniri,Abhaz peyniri,anlam içi
abdest,baş,anlam içi
abdestbozan,tenya,yönlendirme
abdest almak,baş,anlam içi
abdüsselam otu,adamotu,yönlendirme
aberant,sapıntılı,yönlendirme
aberasyon,sapınç,yönlendirme
Abhazca,Abazaca,yönlendirme
abide,anıt,yönlendirme
abideleşme,anıtlaşma,yönlendirme
abideleşmek,anıtlaşmak,yönlendirme
abideleştirilmek,anıtlaştırılmak,yönlendirme
abideleştirme,anıtlaştırma,yönlendirme
abideleştirmek,anıtlaştırmak,yönlendirme
abidevi,anıtsal,yönlendirme
abla,aba,anlam içi
abla,bacı,anlam içi
abla,çaça,anlam içi
abla,mama,anlam içi
ablatif,çıkma durumu,yönlendirme
abluka,kuşatma,yönlendirme
abone,sürdürümcü,anlam içi
abonman,sürdürüm,anlam içi
abra,dara,yönlendirme
abraş,alaca hastalığı,yönlendirme
absentizm,pelin zehirlenmesi,anlam içi
abstraksiyonizm,soyutçuluk,yönlendirme
abstre,soyut,yönlendirme
abstre sayı,soyut sayı,yönlendirme
absürt,saçma,yönlendirme
absürtlük,absürdizm,anlam içi
abu,abo,yönlendirme
abuhava,iklim,yönlendirme
abuklaşma,saçmalaşma,yönlendirme
abuk sabuk,saçma,yönlendirme
abuk sabukluk,saçmalık,yönlendirme
abuli,irade yitimi,yönlendirme
abus,somurtkan,yönlendirme
acaba,acep,anlam içi
Acar,Acara,anlam içi
acar,atılgan,yönlendirme
acayip,yabansı,anlam içi
acayip,garip,anlam içi
acayip,tuhaf,anlam içi
acayiplik,yabansılık,anlam içi
acayiplik,gariplik,anlam içi
acayiplik,tuhaflık,anlam içi
acele,çabuk,anlam içi
acele,tez,anlam içi
acele,ivedi,anlam içi
acele,becit,anlam içi
acele,müstacel,anlam içi
acele,şitap,anlam içi
aceleci,farfara,anlam içi
aceleci,fırtına gibi,anlam içi
aceleci,içi tez,anlam içi
aceleci,evgin,anlam içi
aceleci,ivecen,anlam içi
aceleci,iveğen,anlam içi
aceleci,kıvrak,anlam içi
aceleci,sabırsız,anlam içi
aceleci,tez canlı,anlam içi
aceleci,telaşlı,anlam içi
aceleci,acul,anlam içi
acelecilik,ivecenlik,anlam içi
acelecilik,tez canlılık,anlam içi
aceleleştirme,çabuklaştırma,yönlendirme
aceleleştirmek,çabuklaştırmak,yönlendirme
Acem,İranlı,yönlendirme
Acemce,Farsça,yönlendirme
acemi,çaylak,anlam içi
acemi,çömez,anlam içi
acemi,toy,anlam içi
acemi,amatör,anlam içi
acemi,idmansız,yönlendirme
acemice,acemicesine,anlam içi
acemice,toyca,anlam içi
acemi er,kuş,anlam içi
Acemleşme,Farslaşma,anlam içi
Acemleşmek,Farslaşmak,anlam içi
Acemleştirilme,Farslaştırılma,anlam içi
Acemleştirilmek,Farslaştırılmak,anlam içi
Acemleştirme,Farslaştırma,anlam içi
Acemleştirmek,Farslaştırmak,anlam içi
Acem lalesi,güneştopu (Eschecholtzia californica),anlam içi
acı,biberli,anlam içi
acı,yara,anlam içi
acıklı,elim,anlam içi
acıklı,koygun,anlam içi
acıklı komedi,trajikomedi,anlam içi
acılaşmak,acımak,anlam içi
acılı,üzüntülü,yönlendirme
acılık,meraret,anlam içi
acıma,merhamet,anlam içi
acımasız,zalimce,anlam içi
acımasızca,acımasızcasına,anlam içi
acımasızca,zalimce,anlam içi
acımasızca,zalimcesine,anlam içi
acımasızca,zalimane,anlam içi
acımasızlık,vahşet,anlam içi
acıma duygusu,acıma hissi,anlam içi
acımık,mavikantaron,yönlendirme
acımsı,acımtırak,anlam içi
acımtıraklık,acımsılık,yönlendirme
acırga,yaban turpu,yönlendirme
acısız,üzüntüsüz,yönlendirme
acı ağaç,kavasya (Quassia amara),anlam içi
acı bakla,termiye,yönlendirme
acı bal,deli bal,yönlendirme
acı balık,gördek (Rhodeus amarus),anlam içi
acı çiğdem,güz çiğdemi (Colchicum autumnale),anlam içi
acı dülek ,Ebucehil karpuzu,yönlendirme
acı hıyar,it hıyarı,yönlendirme
acı kavak,titrek kavak,yönlendirme
acı kavun,Ebucehil karpuzu,yönlendirme
acı meyan,dikenli meyan,yönlendirme
acı sakız,çam sakızı,yönlendirme
acı tatlı,şöyle böyle,yönlendirme
acı yavşan,tüylü dalak otu,yönlendirme
acil,ivedi,anlam içi
acil,ivedili,anlam içi
acil,evgin,anlam içi
acil,müstacel,anlam içi
acilen,çabucak,yönlendirme
acil ihtiyaç kredisi,artı para,yönlendirme
aciz,güçsüzlük,yönlendirme
aç,tok karşıtı,anlam içi
açacak,anahtar,yönlendirme
açar,anahtar,yönlendirme
açar,ön içki,yönlendirme
açgözlü,açgöz,anlam içi
açgözlü,gözü aç,anlam içi
açgözlü,gözü doymaz,anlam içi
açgözlü,haris,anlam içi
açgözlü,tamahkâr,anlam içi
açgözlü,tokgözlü karşıtı,anlam içi
açgözlülük,açgözlük,anlam içi
açgözlülük,gözü doymazlık,anlam içi
açgözlülük,harislik,anlam içi
açgözlülük,tamahkârlık,anlam içi
açgözlülük,tamah,anlam içi
açı,zaviye,anlam içi
açık,vazıh,anlam içi
açıkça,aşikâre,anlam içi
açıkçası,Türkçesi,anlam içi
açıkgöz,aynagöz,anlam içi
açıkgöz,cingöz,anlam içi
açıkgöz,uyanık,anlam içi
açıkgözlük,açıkgözlülük,yönlendirme
açıkgözlülük,cingözlük,anlam içi
açıklama,izah,anlam içi
açıklama,tavzih,anlam içi
açıklamak,izah etmek,anlam içi
açıklamak,tavzih etmek,anlam içi
açıklanan,açıklayan,anlam içi
açıklık,meydanlık,anlam içi
açıklık,vuzuh,anlam içi
açıktan tayin,açıktan atama,yönlendirme
açık açık,içtenlikle,yönlendirme
açık artırma,artırma,anlam içi
açık artırma,müzayede,anlam içi
açık bono,açık senet,anlam içi
açık bölge,serbest bölge,yönlendirme
açık celse,açık duruşma,yönlendirme
açık celse,"açık oturum, gizli celse karşıtı",yönlendirme
açık çek,açık kart,anlam içi
açık deniz,engin,anlam içi
açık elli,cömert,yönlendirme
açık ellilik,cömertlik,yönlendirme
açık fikirli,açık görüşlü,anlam içi
açık fikirlilik,açık görüşlülük,anlam içi
açık hece,açık seslem,anlam içi
açık kahverengi,devetüyü,anlam içi
açık kahverengi,sütlü kahve,anlam içi
açık kahverengi,kestane rengi,anlam içi
açık kahverengi,kestane dorusu,anlam içi
açık kahverengi,pekmezköpüğü,anlam içi
açık kalpli,açık yürekli,yönlendirme
açık kalplilik,açık yüreklilik,yönlendirme
açık kapı politikası,açık kapı siyaseti,anlam içi
açık mutfak,ada mutfak,anlam içi
açık mutfak,Amerikan mutfak,anlam içi
açık oturum,panel,anlam içi
açık oturum,açık celse,anlam içi
açık sayım,aleni tadat,anlam içi
açık sözlü,dobra,anlam içi
açık tohumlular,çıplak tohumlular,anlam içi
açık yürekli,samimi,anlam içi
açık yüreklilik,samimiyet,anlam içi
açılım,sağ açıklık,yönlendirme
açılış,küşat,anlam içi
açılma,küşayiş,anlam içi
açılma,çatlama,yönlendirme
açımlama,teşrih,anlam içi
açımlama,şerh,anlam içi
açımlamak,şerh etmek,anlam içi
açımlamak,teşrih etmek,anlam içi
açındırma,düzlemleştirme,anlam içi
açındırmak,düzlemleştirmek,anlam içi
açınım,inkişaf,anlam içi
açınsama,istikşaf,anlam içi
açınsamak,istikşaf etmek,anlam içi
açıölçer,iletki,yönlendirme
açısal,zaviyevi,anlam içi
açı ayraç,açı parantez,anlam içi
açkı,anahtar,yönlendirme
açkıcı,perdahçı,anlam içi
açkıcı,anahtarcı,yönlendirme
açkılanmak,perdahlanmak,anlam içi
açma,teftih,anlam içi
açmak,yarmak,yönlendirme
açmamazlık,açmazlık,yönlendirme
ad,isim,anlam içi
ad,nam,anlam içi
ad,sayma,yönlendirme
ad,sayılma,yönlendirme
adabımuaşeret,görgü kuralları,yönlendirme
adak,nezir,anlam içi
adaklanma,nişanlanma,yönlendirme
adaklanmak,nişanlanmak,yönlendirme
adaklı,nişanlı,yönlendirme
adale,kas,yönlendirme
adaleli,kaslı,yönlendirme
adalesiz,kassız,yönlendirme
adalet,türe,anlam içi
adaletli,adil,yönlendirme
adalet mahkemesi,adliye mahkemesi,yönlendirme
adalet örgütü,adliye teşkilatı,yönlendirme
adam,insan,yönlendirme
adam,herif,anlam içi
adamak,nezretmek,anlam içi
adamakıllı,bir güzel,anlam içi
adamakıllı,bir temiz,anlam içi
adamca,adamcasına,anlam içi
adamkökü,adamotu,yönlendirme
adamlık,insanlık,yönlendirme
adamlık,yabanlık,yönlendirme
adamotu,kankurutan,anlam içi
adamotu,abdüsselam otu (Mandragora autumnalis),anlam içi
adamsız,arkasız,yönlendirme
adam başına,adam başı,anlam içi
adam kıtlığında,adam yokluğunda,yönlendirme
adam sarrafı,insan sarrafı,anlam içi
adap,töre,yönlendirme
adap,yol yordam,yönlendirme
adaptasyon,uyarlama,yönlendirme
adaptör,uyarlayıcı,anlam içi
adap erkân,yol yordam,yönlendirme
aday,namzet,anlam içi
adaylık,namzetlik,anlam içi
ada balığı,amber balığı,yönlendirme
ada çayı,dağ çayı (Salvia officinalis),anlam içi
ada soğanı,aksoğan (Urginea maritima),anlam içi
ada tavşanı,yaban tavşanı (Oryctolagus cuniculus),anlam içi
adcı,isimci,anlam içi
adcılık,isimcilik,anlam içi
adcılık,nominalizm,anlam içi
addedilebilme,sayılabilme,yönlendirme
addedilebilmek,sayılabilmek,yönlendirme
addedilmek,sayılmak,yönlendirme
addetme,sayma,yönlendirme
addetmek,saymak,yönlendirme
addolunma,sayılma,yönlendirme
addolunmak,sayılmak,yönlendirme
adedimürettep,tam sayı,yönlendirme
adedî,sayıca,yönlendirme
adem,yokluk,yönlendirme
ademimerkeziyet,yerinden yönetim,yönlendirme
ademimerkeziyetçi,yerinden yönetimci,yönlendirme
ademimerkeziyetçilik,yerinden yönetimcilik,yönlendirme
adese,mercek,yönlendirme
adese,kovucuk,yönlendirme
adet,sayı,yönlendirme
adet,tane,yönlendirme
adetçe,sayıca,yönlendirme
adıl,zamir,yönlendirme
adım,aşama,yönlendirme
adım,etap,anlam içi
adımsayar,pedometre,anlam içi
adım adım,yavaş yavaş,yönlendirme
adım adım,kademe kademe,anlam içi
adına,hesabına,anlam içi
adıyla sanıyla,ismiyle cismiyle,anlam içi
adi,aşağı,yönlendirme
adilane,hakça,yönlendirme
adilik,aşağılık,yönlendirme
adisyon,hesap,yönlendirme
adlandırabilme,isimlendirebilme,anlam içi
adlandırabilmek,isimlendirebilmek,anlam içi
adlandırılabilme,isimlendirilebilme,anlam içi
adlandırılabilmek,isimlendirilebilmek,anlam içi
adlandırılış,isimlendiriliş,anlam içi
adlandırılma,isimlendirilme,anlam içi
adlandırılmak,isimlendirilmek,anlam içi
adlandırış,isimlendiriş,anlam içi
adlandırıverme,isimlendiriverme,anlam içi
adlandırıvermek,isimlendirivermek,anlam içi
adlandırma,isimlendirme,anlam içi
adlandırmak,ad koymak,anlam içi
adlandırmak,ad takmak,anlam içi
adlandırmak,ad vermek,anlam içi
adlandırmak,anmak,anlam içi
adlandırmak,isim koymak,anlam içi
adlandırmak,isim takmak,anlam içi
adlandırmak,isim vermek,anlam içi
adlandırmak,isimlendirmek,anlam içi
adlandırmak,tesmiye etmek,anlam içi
adlanma,isimlenme,anlam içi
adlanmak,isimlenmek,anlam içi
adlar dizgesi,nomanklatür,anlam içi
adlaşma,isimleşme,anlam içi
adlaşmak,isimleşmek,anlam içi
adlaştırma,isimleştirme,anlam içi
adlaştırmak,isimleştirmek,anlam içi
adlı,isimli,anlam içi
adlı sanlı,ünlü,yönlendirme
adli makam,adli merci,anlam içi
adres,bulunak,anlam içi
adres çubuğu,adres kutusu,anlam içi
adres defteri,adres rehberi,anlam içi
adsız,isimsiz,anlam içi
adsız parmak,yüzük parmağı,yönlendirme
ad cümlesi,isim cümlesi,anlam içi
ad cümlesi,ad tümcesi,anlam içi
ad çekimi,isim çekimi,anlam içi
ad çekme,kura,yönlendirme
ad durumu,isim durumu,anlam içi
ad durumu,isim hâli,anlam içi
ad-eylem,ad-fiil,yönlendirme
ad-fiil,isim-fiil,anlam içi
ad gövdesi,kayır-mak,anlam içi
ad gövdesi,esirge-mek vb,anlam içi
ad kökü,isim kökü,anlam içi
ad tamlaması,isim tamlaması: bahçe kapısı,anlam içi
ad tamlaması,bahçenin duvarı,anlam içi
ad tamlaması,bahçe duvarının taşları vb,anlam içi
afakilik,nesnellik,yönlendirme
afazi,söz yitimi,yönlendirme
aferist,dalavereci,yönlendirme
affedebilme,bağışlayabilme,yönlendirme
affedebilmek,bağışlayabilmek,yönlendirme
affedilebilme,bağışlanabilme,yönlendirme
affedilebilmek,bağışlanabilmek,yönlendirme
affediliş,bağışlanış,yönlendirme
affedilme,bağışlanma,yönlendirme
