madde,anlam,lisan,telaffuz
aba,Yünün dövülmesiyle yapılan kalın ve kaba kumaş | Bu kumaştan yapılmış yakasız ve uzun üstlük | Bu kumaştan yapılan | Bu kumaştan yapılan ve dervişlerce giyilen hırka,Arapça ʿabā,
abacı,Aba yapan veya satan kimse | Abadan giyecek yapan veya satan kimse,,
abacılık,Abacının yaptığı iş,,
abadi kâğıt,"Açık saman renginde, ipekten yapılan, yarı mat, kalın ve değerli bir tür kâğıt; abadi",,
abajur,"Işığı bir yere toplamak, doğrudan doğruya gözlere vurmasını önlemek için kullanılan, kâğıt, kumaş, maden veya renkli camdan yapılmış lamba siperi | Genellikle üzeri siperli masa lambası veya ayaklı lamba",Fransızca abat-jour,
abajurcu,Abajur yapan veya satan kimse,,
abajurculuk,Abajurcunun yaptığı iş,,
abak,"Eski Türklerde ölmüş kimselerin heykel vb. suretleri | Deri veya başka bir maddeden kesilen resim, heykel vb. şekiller",,
abak,"Matematik ve mühendislikte en az iki değişken değerin yer aldığı, meselelerin kolayca çözülmesini sağlamak üzere çizilmiş olan eğrilerden oluşan bir tür tablo veya grafik",Fransızca abaque,
abaküs,Sütun başlığının üstüne yatay olarak konan ve kenarlarından biraz dışarı taşan taş blok; abak (I) [mimarlık],İngilizce abacus,
Abana,Kastamonu iline bağlı ilçelerden biri,,aba'na
abanabilme,Abanabilmek işi,,
abandırabilme,Abandırabilmek işi,,
abandırıverme,Abandırıvermek işi,,
abandırma,Abandırmak işi,,
abandone,"Geminin suya gömülmesi [denizcilik] | Boks sporunda dövüşemeyecek duruma gelen boksörün karşılaşmayı yarıda bırakması [spor] | Otomobil yarışı vb. spor dallarında herhangi bir sebeple yarış dışı kalma [spor] | Herhangi bir olay karşısında çaresiz duruma düşme, ne yapacağını bilememe",Fransızca abandonné,
abanış,Abanma işi,,
abanıverme,Abanıvermek işi,,
abani,"Genellikle sarık, bohça, kundak ve yorgan yüzü yapımında kullanılan, zemini beyaz, üzerinde safran renginde nakışlar bulunan ipek kumaş | Bu kumaştan yapılmış",,a:ba:ni
abanma,Abanmak işi,,
abanoz,"Abanozgillerden, sıcak ülkelerde yetişen, kerestesinden yararlanılan birçok ağacın ortak adı (Diospyros ebenum) [bitki bilimi] | Bu ağacın ağır, sert ve siyah renkli tahtası | Bu tahtadan yapılmış | Koyu, parlak siyah | Bu renkte olan",Farsça ābnūs,
abanozgiller,"İki çeneklilerden, sıcak ülkelerde yetişen bir bitki familyası [bitki bilimi]",,
abanozlaşıverme,Abanozlaşıvermek durumu,,
abanozlaşma,Abanozlaşmak durumu,,
abanozlaştırabilme,Abanozlaştırabilmek işi,,
abanozlaştırıverme,Abanozlaştırıvermek işi,,
abanozlaştırma,Abanozlaştırmak işi,,
abara,Su değirmenlerinde suyun birikerek basıncının artmasını sağlayan huni biçimindeki yer | Tarla sulamasında suyun bir taraftan bir tarafa geçirilmesinde kullanılan tahta oluk | Tarlalarda açılan su yolu | Eski köy evlerinin tavanlarında iki kiriş arasında kalan boşluk,Arapça ʿabbāre,
abara,Buğday ambarı | Hayvan yemliği | Geniş delikli kalbur | Buğdayla karışık saman,Arapça ʿabbāre,
abartabilme,Abartabilmek durumu,,
abartı,"Bir şeyi, bir olayı olduğundan büyük veya çok gösterme; mübalağa",,
abartıcılık,"Abartıcı olma durumu; abartmacılık, mübalağacılık",,
abartılabilme,Abartılabilmek durumu,,
abartılılık,Abartılı olma durumu,,
abartılış,Abartılmak durumu,,
