madde,anlam,lisan,telaffuz
abajurlu,Abajuru olan,,
abajursuz,Abajuru olmayan,,
abalı,"Aba giymiş olan | Hamisi, koruyucusu, destekçisi olmayan (kimse)",,
abanili,Abanisi olan | Abani kumaştan yapılmış giysisi bulunan,,
abartıcı,"Abartıyı huy edinen (kimse); abartmacı, mübalağacı",,
abartık,Abartılmış olan,,
abartılı,"Olduğundan fazla gösterilen; abartmalı, mübalağalı | Abartarak, abartılı olarak, mübalağalı bir biçimde",,
abartısız,"Olduğu gibi gösterilen; abartmasız, mübalağasız | Abartmadan, abartısız olarak, mübalağasız bir biçimde",,
abasız,Aba giymemiş olan,,
abat,Şen ve rahat olan,Farsça ābād,a:ba:t
abazan,Uzun süre cinsel ilişkide bulunmayan (erkek) | Karnı aç olan (kimse),,
abdalımsı,"Abdalı andıran, abdala benzer, abdal gibi",,
abeci,"Aptal, sersem denecek kadar saf, bön, ahmak, şaşkın (kimse)",,
abes,"Gereksiz, yersiz, boş olan | Akla ve gerçeğe aykırı | Gereksiz bir biçimde",Arapça ʿabes̱,
ablak,Yayvan ve dolgun (yüz),Arapça eblaḳ,
ablakça,"Ablak gibi, biraz ablak",,
ablavut,"Bön, aptal, sersem (kimse)",,
abuk sabuk,Saçma bir biçimde,,
abullabut,"Söz ve davranışlarında incelikten yoksun olan (kimse) | Biçimsiz ve kötü giyinen, giyimine özen göstermeyen (kimse)",,
abus,"Çatık, asık (yüz) | Garip ve acayip olan | İnsana baskı yapan, olumsuz etki eden | Somurtkan hâlde, somurtarak",Arapça ʿabūs,
abuzambak,"Garip sözler söyleyen, tuhaf hareketlerde bulunan (kimse)",,
acar,"Güçlü ve becerikli, çevik, enerjik olan | Yeni olan",Arapça aʿcar,
acayip,"Sağduyuya, göreneğe, olağana aykırı, yadırganan; yabansı, garip, tuhaf | Şaşma anlatan bir söz",Arapça ʿacāʾib,aca:yip
